file	ported	total_tests	passing	failing	status	real_pass	real_total	expect_failure
t1306-xdg-files	yes	21	10	11	ok	10	21	0
t1307-config-blob	yes	13	10	3	ok	10	13	0
t1308-config-set	yes	39	1	38	ok	1	39	0
t1309-early-config	yes	10	3	7	ok	1	8	2
t1310-config-default	yes	5	5	0	ok	5	5	0
t1311-config-optional	yes	3	3	0	ok	3	3	0
t1350-config-hooks-path	yes	4	4	0	ok	4	4	0
t1400-update-ref	yes	0	0	0	timeout	0	0	0
t1401-symbolic-ref	yes	25	25	0	ok	25	25	0
t1402-check-ref-format	yes	99	99	0	ok	99	99	0
t1403-show-ref	yes	12	2	10	ok	2	12	0
t1404-update-ref-errors	yes	38	0	38	ok	0	38	0
t1405-main-ref-store	yes	16	2	14	ok	2	16	0
t1406-submodule-ref-store	yes	15	8	7	ok	8	15	0
t1407-worktree-ref-store	yes	4	1	3	ok	1	4	0
t1408-packed-refs	yes	3	3	0	ok	3	3	0
t1409-avoid-packing-refs	yes	0	0	0	ok	0	0	0
t1410-reflog	yes	41	4	37	ok	3	40	1
t1411-reflog-show	yes	17	6	11	ok	6	17	0
t1412-reflog-loop	yes	3	0	3	ok	0	3	0
t1413-reflog-detach	yes	7	7	0	ok	7	7	0
t1414-reflog-walk	yes	12	3	9	ok	3	12	0
t1415-worktree-refs	yes	10	4	6	ok	4	10	0
t1416-ref-transaction-hooks	yes	10	2	8	ok	2	10	0
t1417-reflog-updateref	yes	21	12	9	ok	12	21	0
t1418-reflog-exists	yes	6	6	0	ok	6	6	0
t1419-exclude-refs	yes	13	1	12	ok	1	13	0
t1420-lost-found	yes	2	2	0	ok	2	2	0
t1421-reflog-write	yes	10	1	9	ok	1	10	0
t1423-ref-backend	yes	36	4	32	ok	4	36	0
t1430-bad-ref-name	yes	42	8	34	ok	6	40	2
t1450-fsck	yes	0	0	0	timeout	0	0	0
t1451-fsck-buffer	yes	72	10	62	ok	10	72	0
t1460-refs-migrate	yes	37	1	36	ok	1	37	0
t1500-rev-parse	yes	81	38	43	ok	38	81	0
t1501-work-tree	yes	39	20	19	ok	20	39	0
t1502-rev-parse-parseopt	yes	37	11	26	ok	11	37	0
t1503-rev-parse-verify	yes	12	9	3	ok	9	12	0
t1504-ceiling-dirs	yes	44	8	36	ok	8	44	0
t1505-rev-parse-last	yes	7	7	0	ok	7	7	0
t1506-rev-parse-diagnosis	yes	30	13	17	ok	13	30	0
t1507-rev-parse-upstream	yes	29	13	16	ok	13	29	0
t1508-at-combinations	yes	35	21	14	ok	21	35	0
t1509-root-work-tree	yes	0	0	0	ok	0	0	0
t1510-repo-setup	yes	109	12	97	ok	12	109	0
t1511-rev-parse-caret	yes	17	10	7	ok	10	17	0
t1512-rev-parse-disambiguation	yes	3	0	3	ok	0	0	3
t1513-rev-parse-prefix	yes	11	11	0	ok	11	11	0
